,date,title,rank,rank_last_week,weeks_on_list,description,publisher,author
35,2019-10-11,THE DUTCH HOUSE,6,0,1,A sibling relationship is impacted when the family goes from poverty to wealth and back again over the course of many decades.,Harper,Ann Patchett
36,2019-10-11,THE GIRL WHO LIVED TWICE,7,5,5,Mikael Blomkvist helps Lisbeth Salander put her past behind her in the latest installment of Stieg Larsson's Millennium series.,Knopf,David Lagercrantz
37,2019-10-11,KILLER INSTINCT,8,7,3,"The second book in the Instinct series. When an act of terror strikes New York, Dr. Reinhart and Detective Needham go after a sociopath.","Little, Brown",James Patterson and Howard Roughan
38,2019-10-11,THE ORACLE,9,6,4,A traveler discovers mysteries hidden behind seven locked doors.,Front Line,Jonathan Cahn
39,2019-10-11,THE SECRETS WE KEPT,10,12,4,"During the Cold War, members of the C.I.A.’s typing pool aid its mission to smuggle the banned book “Doctor Zhivago” behind the Iron Curtain.",Knopf,Lara Prescott
40,2019-10-11,RED AT THE BONE,11,8,2,The long-lasting decisions young people make are explored through the history of a Brooklyn teenager’s family.,Riverhead,Jacqueline Woodson
41,2019-10-11,THE NICKEL BOYS,12,11,11,Two boys respond to horrors at a Jim Crow-era reform school in ways that impact them decades later.,Doubleday,Colson Whitehead
42,2019-10-11,THE WORLD THAT WE KNEW,13,0,1,A rabbi’s daughter creates a mystical Jewish creature that is sworn to protect a 12-year-old girl in World War II Europe.,Simon & Schuster,Alice Hoffman
43,2019-10-11,THE TITANIC SECRET,14,9,3,The 11th book in the Isaac Bell series. Dirk Pitt finds a document that brings a mystery from 1911 back to life.,Putnam,Clive Cussler and Jack Du Brul
44,2019-10-11,A BETTER MAN,15,10,5,The 15th book in the Chief Inspector Gamache series. The search for a missing girl is imperiled by rising floodwaters across the province.,Minotaur,Louise Penny
45,2019-10-04,THE INSTITUTE,1,2,2,Children with special talents are abducted and sequestered in an institution where the sinister staff seeks to extract their gifts through harsh methods.,Scribner,Stephen King
46,2019-10-04,THE TESTAMENTS,2,1,2,"In a sequel to “The Handmaid’s Tale,” old secrets bring three women together as the Republic of Gilead’s theocratic regime shows signs of decay.",Nan A. Talese/Doubleday,Margaret Atwood
47,2019-10-04,WHERE THE CRAWDADS SING,3,3,55,A woman who survived alone in the marsh becomes a murder suspect.,Putnam,Delia Owens
48,2019-10-04,LAND OF WOLVES,4,0,1,"The 15th book in the Longmire series. Back from Mexico, Sheriff Longmire must deal with a wolf and a killer on the loose.",Viking,Craig Johnson
49,2019-10-04,THE GIRL WHO LIVED TWICE,5,6,4,Mikael Blomkvist helps Lisbeth Salander put her past behind her in the latest installment of Stieg Larsson's Millennium series.,Knopf,David Lagercrantz
50,2019-10-04,THE ORACLE,6,5,3,A traveler discovers mysteries hidden behind seven locked doors.,Front Line,Jonathan Cahn
51,2019-10-04,KILLER INSTINCT,7,4,2,"The second book in the Instinct series. When an act of terror strikes New York, Dr. Reinhart and Detective Needham go after a sociopath.","Little, Brown",James Patterson and Howard Roughan
52,2019-10-04,RED AT THE BONE,8,0,1,The long-lasting decisions young people make are explored through the history of a Brooklyn teenager’s family.,Riverhead,Jacqueline Woodson
53,2019-10-04,THE TITANIC SECRET,9,7,2,The 11th book in the Isaac Bell series. Dirk Pitt finds a document that brings a mystery from 1911 back to life.,Putnam,Clive Cussler and Jack Du Brul
54,2019-10-04,A BETTER MAN,10,9,4,The 15th book in the Chief Inspector Gamache series. The search for a missing girl is imperiled by rising floodwaters across the province.,Minotaur,Louise Penny
55,2019-10-04,THE NICKEL BOYS,11,11,10,Two boys respond to horrors at a Jim Crow-era reform school in ways that impact them decades later.,Doubleday,Colson Whitehead
56,2019-10-04,THE SECRETS WE KEPT,12,10,3,"During the Cold War, members of the C.I.A.’s typing pool aid its mission to smuggle the banned book “Doctor Zhivago” behind the Iron Curtain.",Knopf,Lara Prescott
57,2019-10-04,VENDETTA IN DEATH,13,8,3,The 49th book of the In Death series. Eve Dallas looks into the misdeeds of a wealthy businessman while a vigilante named Lady Justice uses disguises to avenge women who were wronged.,St. Martin's,J D Robb
58,2019-10-04,THIS TENDER LAND,14,12,3,Four orphans escape a Minnesota school and encounter a cross-section of different people struggling during the Great Depression.,Atria,William Kent Krueger
59,2019-10-04,A LITTLE HATRED,15,0,1,The Age of Madness series opens with a war erupting during a time of change.,Orbit,Joe Abercrombie
60,2019-09-27,THE TESTAMENTS,1,0,1,"In a sequel to “The Handmaid’s Tale,” old secrets bring three women together as the Republic of Gilead’s theocratic regime shows signs of decay.",Nan A. Talese/Doubleday,Margaret Atwood
61,2019-09-27,THE INSTITUTE,2,0,1,Children with special talents are abducted and sequestered in an institution where the sinister staff seeks to extract their gifts through harsh methods.,Scribner,Stephen King
62,2019-09-27,WHERE THE CRAWDADS SING,3,1,54,A woman who survived alone in the marsh becomes a murder suspect.,Putnam,Delia Owens
63,2019-09-27,KILLER INSTINCT,4,0,1,"The second book in the Instinct series. When an act of terror strikes New York, Dr. Reinhart and Detective Needham go after a sociopath.","Little, Brown",James Patterson and Howard Roughan
64,2019-09-27,THE ORACLE,5,4,2,A traveler discovers mysteries hidden behind seven locked doors.,Front Line,Jonathan Cahn
65,2019-09-27,THE GIRL WHO LIVED TWICE,6,6,3,Mikael Blomkvist helps Lisbeth Salander put her past behind her in the latest installment of Stieg Larsson's Millennium series.,Knopf,David Lagercrantz
66,2019-09-27,THE TITANIC SECRET,7,0,1,The 11th book in the Isaac Bell series. Dirk Pitt finds a document that brings a mystery from 1911 back to life.,Putnam,Clive Cussler and Jack Du Brul
67,2019-09-27,VENDETTA IN DEATH,8,2,2,The 49th book of the In Death series. Eve Dallas looks into the misdeeds of a wealthy businessman while a vigilante named Lady Justice uses disguises to avenge women who were wronged.,St. Martin's,J D Robb
68,2019-09-27,A BETTER MAN,9,5,3,The 15th book in the Chief Inspector Gamache series. The search for a missing girl is imperiled by rising floodwaters across the province.,Minotaur,Louise Penny
69,2019-09-27,THE SECRETS WE KEPT,10,7,2,"During the Cold War, members of the C.I.A.’s typing pool aid its mission to smuggle the banned book “Doctor Zhivago” behind the Iron Curtain.",Knopf,Lara Prescott
70,2019-09-27,THE NICKEL BOYS,11,13,9,Two boys respond to horrors at a Jim Crow-era reform school in ways that impact them decades later.,Doubleday,Colson Whitehead
71,2019-09-27,THIS TENDER LAND,12,3,2,Four orphans escape a Minnesota school and encounter a cross-section of different people struggling during the Great Depression.,Atria,William Kent Krueger
72,2019-09-27,THE DARK SIDE,13,9,3,Painful childhood memories surface for Zoe Morgan when she has a child of her own.,Delacorte,Danielle Steel
73,2019-09-27,ONE GOOD DEED,14,12,8,A World War II veteran on parole must find the real killer in a small town or face going back to jail.,Grand Central,David Baldacci
74,2019-09-27,QUICHOTTE,15,0,1,"While contending with a midlife crisis, a writer of spy thrillers creates a Don Quixote-esque character who goes on a quest to prove himself worthy of a TV star.",Random House,Salman Rushdie
75,2019-09-20,WHERE THE CRAWDADS SING,1,2,53,A woman who survived alone in the marsh becomes a murder suspect.,Putnam,Delia Owens
76,2019-09-20,VENDETTA IN DEATH,2,0,1,The 49th book of the In Death series. Eve Dallas looks into the misdeeds of a wealthy businessman while a vigilante named Lady Justice uses disguises to avenge women who were wronged.,St. Martin's,J D Robb
77,2019-09-20,THIS TENDER LAND,3,0,1,Four orphans escape a Minnesota school and encounter a cross-section of different people struggling during the Great Depression.,Atria,William Kent Krueger
78,2019-09-20,THE ORACLE,4,0,1,A traveler discovers mysteries hidden behind seven locked doors.,Front Line,Jonathan Cahn
79,2019-09-20,A BETTER MAN,5,1,2,The 15th book in the Chief Inspector Gamache series. The search for a missing girl is imperiled by rising floodwaters across the province.,Minotaur,Louise Penny
80,2019-09-20,THE GIRL WHO LIVED TWICE,6,3,2,Mikael Blomkvist helps Lisbeth Salander put her past behind her in the latest installment of Stieg Larsson's Millennium series.,Knopf,David Lagercrantz
81,2019-09-20,THE SECRETS WE KEPT,7,0,1,"During the Cold War, members of the C.I.A.’s typing pool aid its mission to smuggle the banned book “Doctor Zhivago” behind the Iron Curtain.",Knopf,Lara Prescott
82,2019-09-20,THE INN,8,5,5,A former Boston police detective who is now an innkeeper must shield a seaside town from a crew of criminals.,"Little, Brown",James Patterson and Candice Fox
83,2019-09-20,THE DARK SIDE,9,4,2,Painful childhood memories surface for Zoe Morgan when she has a child of her own.,Delacorte,Danielle Steel
84,2019-09-20,THE TURN OF THE KEY,10,8,5,A nanny working in a technology-laden house in Scotland goes to jail when one of the children dies.,Scout,Ruth Ware
85,2019-09-20,DARK ILLUSION,11,0,1,The 33rd book in the Carpathian series. A mage and an ancient warrior must stop a threat against all Carpathians.,Berkley,Christine Feehan
86,2019-09-20,ONE GOOD DEED,12,6,7,A World War II veteran on parole must find the real killer in a small town or face going back to jail.,Grand Central,David Baldacci
87,2019-09-20,THE NICKEL BOYS,13,7,8,Two boys respond to horrors at a Jim Crow-era reform school in ways that impact them decades later.,Doubleday,Colson Whitehead
88,2019-09-20,OLD BONES,14,10,3,An expedition into the Sierra Nevada uncovers new twists to the events involving the Donner party during the 1840s.,Grand Central,Douglas Preston and Lincoln Child
89,2019-09-20,THE SILENT PATIENT,15,9,27,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,Celadon,Alex Michaelides
90,2019-09-13,A BETTER MAN,1,0,1,The 15th book in the Chief Inspector Gamache series. The search for a missing girl is imperiled by rising floodwaters across the province.,Minotaur,Louise Penny
91,2019-09-13,WHERE THE CRAWDADS SING,2,1,52,A woman who survived alone in the marsh becomes a murder suspect.,Putnam,Delia Owens
92,2019-09-13,THE GIRL WHO LIVED TWICE,3,0,1,Mikael Blomkvist helps Lisbeth Salander put her past behind her in the latest installment of Stieg Larsson's Millennium series.,Knopf,David Lagercrantz
93,2019-09-13,THE DARK SIDE,4,0,1,Painful childhood memories surface for Zoe Morgan when she has a child of her own.,Delacorte,Danielle Steel
94,2019-09-13,THE INN,5,3,4,A former Boston police detective who is now an innkeeper must shield a seaside town from a crew of criminals.,"Little, Brown",James Patterson and Candice Fox
95,2019-09-13,ONE GOOD DEED,6,4,6,A World War II veteran on parole must find the real killer in a small town or face going back to jail.,Grand Central,David Baldacci
96,2019-09-13,THE NICKEL BOYS,7,5,7,Two boys respond to horrors at a Jim Crow-era reform school in ways that impact them decades later.,Doubleday,Colson Whitehead
97,2019-09-13,THE TURN OF THE KEY,8,6,4,A nanny working in a technology-laden house in Scotland goes to jail when one of the children dies.,Scout,Ruth Ware
98,2019-09-13,THE SILENT PATIENT,9,12,26,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,Celadon,Alex Michaelides
99,2019-09-13,OLD BONES,10,2,2,An expedition into the Sierra Nevada uncovers new twists to the events involving the Donner party during the 1840s.,Grand Central,Douglas Preston and Lincoln Child
100,2019-09-13,"ASK AGAIN, YES",11,15,7,The lives of neighboring families in a New York City suburb intertwine over four decades.,Scribner,Mary Beth Keane
101,2019-09-13,THE BITTERROOTS,12,8,3,The fourth book in the Cassie Dewell series. The black sheep of an influential family is accused of assault.,Minotaur,CJ Box
102,2019-09-13,INLAND,13,9,3,The lives of a frontierswoman and a former outlaw intersect in the unforgiving climate of the Arizona Territory in 1893.,Random House,Téa Obreht
103,2019-09-13,OUTFOX,14,11,4,F.B.I. Agent Drex Easton has a hunch that the conman Weston Graham is also a serial killer.,Grand Central,Sandra Brown
104,2019-09-13,THE NEW GIRL,15,0,6,"Gabriel Allon, the chief of Israeli intelligence, partners with the crown prince of Saudi Arabia, whose daughter is kidnapped.",Harper,Daniel Silva
105,2019-09-06,WHERE THE CRAWDADS SING,1,1,51,A woman who survived alone in the marsh becomes a murder suspect.,Putnam,Delia Owens
106,2019-09-06,OLD BONES,2,0,1,An expedition into the Sierra Nevada uncovers new twists to the events involving the Donner party.,Grand Central,Douglas Preston and Lincoln Child
107,2019-09-06,THE INN,3,2,3,A former Boston police detective who is now an innkeeper must shield a seaside town from a crew of criminals.,"Little, Brown",James Patterson and Candice Fox
108,2019-09-06,ONE GOOD DEED,4,4,5,A World War II veteran on parole must find the real killer in a small town or face going back to jail.,Grand Central,David Baldacci
109,2019-09-06,THE NICKEL BOYS,5,5,6,Two boys respond to horrors at a Jim Crow-era reform school in ways that impact them decades later.,Doubleday,Colson Whitehead
110,2019-09-06,THE TURN OF THE KEY,6,6,3,A nanny working in a technology-laden house in Scotland goes to jail when one of the children dies.,Scout,Ruth Ware
111,2019-09-06,THE LAST WIDOW,7,0,1,The abduction of a Centers for Disease Control scientist and explosions in an Atlanta neighborhood portend a massacre.,Morrow,Karin Slaughter
112,2019-09-06,THE BITTERROOTS,8,3,2,The fourth book in the Cassie Dewell series. The black sheep of an influential family is accused of assault.,Minotaur,CJ Box
113,2019-09-06,INLAND,9,12,2,The lives of a frontierswoman and a former outlaw intersect in the unforgiving climate of the Arizona Territory in 1893.,Random House,Téa Obreht
114,2019-09-06,THE WHISPER MAN,10,0,1,A serial killer’s methods from 20 years ago resonate in the town of Featherbank when a young boy goes missing.,Celadon,Alex North
115,2019-09-06,OUTFOX,11,8,3,F.B.I. Agent Drex Easton has a hunch that the conman Weston Graham is also a serial killer.,Grand Central,Sandra Brown
116,2019-09-06,THE SILENT PATIENT,12,0,25,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,Celadon,Alex Michaelides
117,2019-09-06,TIDELANDS,13,0,1,"Suspicions surround Alinor, a widow who is skilled with herbs, during the English Civil War in 1648.",Atria,Philippa Gregory
118,2019-09-06,EVVIE DRAKE STARTS OVER,14,11,7,"In a seaside town in Maine, a former Major League pitcher and a grieving widow assess their pasts.",Ballantine,Linda Holmes
119,2019-09-06,"ASK AGAIN, YES",15,0,6,The lives of neighboring families in a New York City suburb intertwine over four decades.,Scribner,Mary Beth Keane
120,2019-08-30,WHERE THE CRAWDADS SING,1,1,50,A woman who survived alone in the marsh becomes a murder suspect.,Putnam,Delia Owens
121,2019-08-30,THE INN,2,2,2,A former Boston police detective who is now an innkeeper must shield a seaside town from a crew of criminals.,"Little, Brown",James Patterson and Candice Fox
122,2019-08-30,THE BITTERROOTS,3,0,1,The fourth book in the Cassie Dewell series. The black sheep of an influential family is accused of assault.,Minotaur,CJ Box
123,2019-08-30,ONE GOOD DEED,4,4,4,A World War II veteran on parole must find the real killer in a small town or face going back to jail.,Grand Central,David Baldacci
124,2019-08-30,THE NICKEL BOYS,5,6,5,Two boys respond to horrors at a Jim Crow-era reform school in ways that impact them decades later.,Doubleday,Colson Whitehead
125,2019-08-30,THE TURN OF THE KEY,6,3,2,A nanny working in a technology-laden house in Scotland goes to jail when one of the children dies.,Scout,Ruth Ware
126,2019-08-30,THE NEW GIRL,7,8,5,"Gabriel Allon, the chief of Israeli intelligence, partners with the crown prince of Saudi Arabia, whose daughter is kidnapped.",Harper,Daniel Silva
127,2019-08-30,OUTFOX,8,5,2,F.B.I. Agent Drex Easton has a hunch that the conman Weston Graham is also a serial killer.,Grand Central,Sandra Brown
128,2019-08-30,CHANCES ARE ...,9,10,3,"Three men in their 60s who met in college reunite on Martha’s Vineyard, where mysterious events occurred in 1971.",Knopf,Richard Russo
129,2019-08-30,CONTRABAND,10,0,1,The 50th book in the Stone Barrington series. Crimes come into focus in Key West and Manhattan.,Putnam,Stuart Woods
130,2019-08-30,EVVIE DRAKE STARTS OVER,11,12,6,"In a seaside town in Maine, a former Major League pitcher and a grieving widow assess their pasts.",Ballantine,Linda Holmes
131,2019-08-30,INLAND,12,0,1,The lives of a frontierswoman and a former outlaw intersect in the unforgiving climate of the Arizona Territory in 1893.,Random House,Téa Obreht
132,2019-08-30,SUMMER OF '69,13,9,9,"The Levin family undergoes dramatic events with a son in Vietnam, a daughter in protests and dark secrets hiding beneath the surface.","Little, Brown",Elin Hilderbrand
133,2019-08-30,A DANGEROUS MAN,14,7,2,Elvis Cole and Joe Pike get more than they bargained for when they investigate the abduction of a bank teller.,Putnam,Robert Crais
134,2019-08-30,THINGS YOU SAVE IN A FIRE,15,0,1,A Texas firefighter braves her estranged mother and the entrenched culture of a Boston firehouse.,St. Martin's,Katherine Center
135,2019-08-23,WHERE THE CRAWDADS SING,1,1,49,A woman who survived alone in the marsh becomes a murder suspect.,Putnam,Delia Owens
136,2019-08-23,THE INN,2,0,1,A former Boston police detective who is now an innkeeper must shield a seaside town from a crew of criminals.,"Little, Brown",James Patterson and Candice Fox
137,2019-08-23,THE TURN OF THE KEY,3,0,1,A nanny working in a technology-laden house in Scotland goes to jail when one of the children dies.,Scout,Ruth Ware
138,2019-08-23,ONE GOOD DEED,4,2,3,A World War II veteran on parole must find the real killer in a small town or face going back to jail.,Grand Central,David Baldacci
139,2019-08-23,OUTFOX,5,0,1,F.B.I. Agent Drex Easton has a hunch that the conman Weston Graham is also a serial killer.,Grand Central,Sandra Brown
140,2019-08-23,THE NICKEL BOYS,6,3,4,Two boys respond to horrors at a Jim Crow-era reform school in ways that impact them decades later.,Doubleday,Colson Whitehead
141,2019-08-23,A DANGEROUS MAN,7,0,1,Elvis Cole and Joe Pike get more than they bargained for when they investigate the abduction of a bank teller.,Putnam,Robert Crais
142,2019-08-23,THE NEW GIRL,8,4,4,"Gabriel Allon, the chief of Israeli intelligence, partners with the crown prince of Saudi Arabia, whose daughter is kidnapped.",Harper,Daniel Silva
143,2019-08-23,SUMMER OF '69,9,6,8,"The Levin family undergoes dramatic events with a son in Vietnam, a daughter in protests and dark secrets hiding beneath the surface.","Little, Brown",Elin Hilderbrand
144,2019-08-23,CHANCES ARE ...,10,8,2,"Three men in their 60s who met in college reunite on Martha’s Vineyard, where mysterious events occurred in 1971.",Knopf,Richard Russo
145,2019-08-23,CITY OF GIRLS,11,10,10,An 89-year-old Vivian Morris looks back at the direction her life took when she entered the 1940s New York theater scene.,Riverhead,Elizabeth Gilbert
146,2019-08-23,EVVIE DRAKE STARTS OVER,12,0,5,"In a seaside town in Maine, a former Major League pitcher and a grieving widow assess their pasts.",Ballantine,Linda Holmes
147,2019-08-23,UNDER CURRENTS,13,9,5,Echoes of a violent childhood reverberate for Zane Bigelow when he starts a new kind of family in North Carolina’s Blue Ridge Mountains.,St. Martin's,Nora Roberts
148,2019-08-23,THE LAST HOUSE GUEST,14,14,4,Avery Greer must fight the clock to clear her name and uncover her friend’s real killer.,Simon & Schuster,Megan Miranda
149,2019-08-23,"ASK AGAIN, YES",15,11,5,The lives of neighboring families in a New York City suburb intertwine over four decades.,Scribner,Mary Beth Keane
150,2019-08-16,WHERE THE CRAWDADS SING,1,2,48,A woman who survived alone in the marsh becomes a murder suspect.,Putnam,Delia Owens
151,2019-08-16,ONE GOOD DEED,2,1,2,A World War II veteran on parole must find the real killer in a small town or face going back to jail.,Grand Central,David Baldacci
152,2019-08-16,THE NICKEL BOYS,3,3,3,Two boys respond to horrors at a Jim Crow-era reform school in ways that impact them decades later.,Doubleday,Colson Whitehead
153,2019-08-16,THE NEW GIRL,4,4,3,"Gabriel Allon, the chief of Israeli intelligence, partners with the crown prince of Saudi Arabia, whose daughter is kidnapped.",Harper,Daniel Silva
154,2019-08-16,DARK AGE,5,0,1,The fifth book in the Red Rising series.,Del Rey,Pierce Brown
155,2019-08-16,SUMMER OF '69,6,6,7,"The Levin family undergoes dramatic events with a son in Vietnam, a daughter in protests and dark secrets hiding beneath the surface.","Little, Brown",Elin Hilderbrand
156,2019-08-16,LABYRINTH,7,0,1,The 23rd book in the F.B.I. Thriller series. Agents Savich and Sherlock wend their way through a maze of lies to get to the bottom of a secret.,Gallery,Catherine Coulter
157,2019-08-16,CHANCES ARE ...,8,0,1,"Three men in their 60s who met in college reunite on Martha’s Vineyard, where mysterious events occurred in 1971.",Knopf,Richard Russo
158,2019-08-16,UNDER CURRENTS,9,7,4,Echoes of a violent childhood reverberate for Zane Bigelow when he starts a new kind of family in North Carolina’s Blue Ridge Mountains.,St. Martin's,Nora Roberts
159,2019-08-16,CITY OF GIRLS,10,9,9,An 89-year-old Vivian Morris looks back at the direction her life took when she entered the 1940s New York theater scene.,Riverhead,Elizabeth Gilbert
160,2019-08-16,"ASK AGAIN, YES",11,10,4,The lives of neighboring families in a New York City suburb intertwine over four decades.,Scribner,Mary Beth Keane
161,2019-08-16,SOMEONE WE KNOW,12,0,1,"In a quiet suburb, a teenager has been breaking into homes and hacking into computers, while a woman is found murdered.",Pamela Dorman/Viking,Shari Lapena
162,2019-08-16,WINDOW ON THE BAY,13,8,3,A single mom’s life takes unexpected turns when her two children go off to college.,Ballantine,Debbie Macomber
163,2019-08-16,THE LAST HOUSE GUEST,14,0,3,Avery Greer must fight the clock to clear her name and uncover her friend’s real killer.,Simon & Schuster,Megan Miranda
164,2019-08-16,LADY IN THE LAKE,15,13,2,"In 1966, a housewife becomes a reporter and investigates the killing of a black woman in Baltimore.",Morrow,Laura Lippman
165,2019-08-09,ONE GOOD DEED,1,0,1,A World War II veteran on parole must find the real killer in a small town or face going back to jail.,Grand Central,David Baldacci
166,2019-08-09,WHERE THE CRAWDADS SING,2,2,47,A woman who survived alone in the marsh becomes a murder suspect.,Putnam,Delia Owens
167,2019-08-09,THE NICKEL BOYS,3,3,2,Two boys respond to horrors at a Jim Crow-era reform school in ways that impact them decades later.,Doubleday,Colson Whitehead
168,2019-08-09,THE NEW GIRL,4,1,2,"Gabriel Allon, the chief of Israeli intelligence, partners with the crown prince of Saudi Arabia, whose daughter is kidnapped.",Harper,Daniel Silva
169,2019-08-09,THRAWN: TREASON,5,0,1,A Star Wars saga. Grand Admiral Thrawn must choose between his sense of duty to the Chiss Ascendancy and loyalty to the Empire.,Del Rey,Timothy Zahn
170,2019-08-09,SUMMER OF '69,6,5,6,"The Levin family undergoes dramatic events with a son in Vietnam, a daughter in protests and dark secrets hiding beneath the surface.","Little, Brown",Elin Hilderbrand
